TARGETID,p_void,p_sheet,p_filament,p_knot,H
39627853687424288,0.01,0.99,0.0,0.0,0.04039656794795559
39627829528234182,0.0,0.61,0.39,0.0,0.4823997742525436
39627829507264041,0.0,0.13,0.87,0.0,0.2787190925139945
39627835572225223,0.0,0.93,0.07,0.0,0.18296182545011158
39627811392064315,0.0,0.6,0.4,0.0,0.4854752972273343
39627829540817045,0.0,0.36,0.64,0.0,0.4713415946277461
39627841599440701,0.0,0.02,0.98,0.0,0.07072027127091034
39627835555451452,0.0,0.44,0.56,0.0,0.4947937606110278
39627811396259694,0.0,0.06,0.92,0.02,0.2335407200795017
39627841599440760,0.0,0.92,0.08,0.0,0.2010895951011364
39627847626658612,0.0,0.11,0.89,0.0,0.249957979082264
39627829519845901,0.0,0.03,0.92,0.05,0.239266955218135
39627853687424128,0.0,0.96,0.04,0.0,0.12114609454120741
39627841612022033,0.0,0.3,0.7,0.0,0.44064544961534635
39627847626656460,0.0,0.19,0.81,0.0,0.3507357299419487
39627829540816120,0.0,0.87,0.13,0.0,0.2787190925139945
39627817461222037,0.0,0.39,0.61,0.0,0.4823997742525436
39627817431861451,0.0,0.35,0.65,0.0,0.4670340276877455
39627811404647990,0.0,0.04,0.96,0.0,0.12114609454120741
39627817427669551,0.0,0.33,0.67,0.0,0.4574631863898637
39627817427669615,0.0,0.24,0.76,0.0,0.39752013969226113
39627817431860165,0.0,0.85,0.15,0.0,0.3049201523582002
39627835584811385,0.0,0.0,0.96,0.04,0.12114609454120741
39627829519846715,0.0,0.72,0.28,0.0,0.4277254052800653
39627829536623660,0.0,0.1,0.88,0.02,0.30368177794258344
39627817427669860,0.0,0.72,0.28,0.0,0.4277254052800653
39627829545013431,0.0,0.79,0.21,0.0,0.37074136996563684
39627841612022467,0.0,0.81,0.19,0.0,0.3507357299419487
39627829545013385,0.0,0.62,0.38,0.0,0.47902101111314976
39627841612022359,0.0,0.84,0.16,0.0,0.3171547773202831
39627841612022525,0.0,0.36,0.64,0.0,0.4713415946277461
39627841612022955,0.0,0.03,0.97,0.0,0.0971959289157881
39627865767018756,0.0,0.33,0.67,0.0,0.4574631863898637
39627865762828875,0.0,0.95,0.05,0.0,0.14319847855797813
39627865767018866,0.0,0.59,0.41,0.0,0.488250234378912
39627811404648084,0.0,0.82,0.18,0.0,0.34003852286413994
39627865750241924,0.0,0.44,0.56,0.0,0.4947937606110278
39627835551254854,0.0,0.16,0.84,0.0,0.3171547773202831
39627835551255054,0.0,0.02,0.98,0.0,0.07072027127091034
39627859739804184,0.0,0.0,1.0,0.0,-0.0
39627853687426818,0.0,0.17,0.83,0.0,0.32885238937210975
39627853662258384,0.0,0.49,0.51,0.0,0.49985572087640495
39627829549203528,0.0,0.5,0.5,0.0,0.5
39627865750242867,0.0,0.0,1.0,0.0,-0.0
39627865750242244,0.0,0.79,0.21,0.0,0.37074136996563684
39627811400455649,0.0,0.12,0.88,0.0,0.2646804326436822
39627811400455596,0.0,0.02,0.97,0.01,0.11097036642660543
39627811400451971,0.0,0.84,0.16,0.0,0.3171547773202831
39627817436055895,0.0,0.66,0.34,0.0,0.46240935248651505
39627835576422328,0.0,0.0,0.95,0.05,0.14319847855797813
39627817436056109,0.0,0.67,0.33,0.0,0.4574631863898637
39627835576422388,0.0,0.39,0.61,0.0,0.4823997742525436
39627865758633153,0.0,0.67,0.33,0.0,0.4574631863898637
39627865758633084,0.0,0.64,0.36,0.0,0.4713415946277461
39627859727224590,0.0,0.27,0.73,0.0,0.42073231810408784
39627829524040722,0.0,0.91,0.09,0.0,0.21823490853205144
39627853691618454,0.0,0.66,0.34,0.0,0.46240935248651505
39627817440250564,0.0,0.39,0.61,0.0,0.4823997742525436
39627817440251024,0.0,0.07,0.93,0.0,0.18296182545011158
39627811387871979,0.0,1.0,0.0,0.0,-0.0
39627823463273556,0.0,0.99,0.01,0.0,0.04039656794795559
39627847639238080,0.0,0.02,0.98,0.0,0.07072027127091034
39627811404647601,0.0,0.55,0.45,0.0,0.49638722699390414
39627811400455799,0.0,0.94,0.06,0.0,0.16372245957723813
39627865750242325,0.0,0.28,0.72,0.0,0.4277254052800653
39627829507264596,0.0,0.01,0.99,0.0,0.04039656794795559
39627811404646121,0.0,0.04,0.96,0.0,0.12114609454120741
39627853691617940,0.0,0.01,0.99,0.0,0.04039656794795559
39627811404646029,0.0,0.77,0.23,0.0,0.38900565177326885
39627853691618176,0.0,0.0,1.0,0.0,-0.0
39627811404645467,0.01,0.81,0.18,0.0,0.3789955935892812
39627829524038373,0.0,0.05,0.95,0.0,0.14319847855797813
39627811404645402,0.0,1.0,0.0,0.0,-0.0
39627817440252669,0.0,0.87,0.13,0.0,0.2787190925139945
39627811404645271,0.0,0.73,0.27,0.0,0.42073231810408784
39627835555450630,0.0,0.52,0.48,0.0,0.4994227679976009
39627811404644556,0.0,0.32,0.68,0.0,0.45219072886224687
39627835580613051,0.0,0.02,0.98,0.0,0.07072027127091034
39627823496824732,0.0,0.16,0.84,0.0,0.3171547773202831
39627829536621143,0.0,0.14,0.86,0.0,0.292119405821428
39627817436054664,0.0,0.69,0.31,0.0,0.4465867291889284
