TARGETID,r,type,p_void,p_sheet,p_filament,p_knot,H
39627781683809810,-0.14285714285714285,filament,0.0,0.2,0.8,0.0,0.36096404744368116
39627757524619413,0.2,filament,0.0,0.12,0.88,0.0,0.2646804326436822
39627751505792695,0.25,filament,0.0,0.06,0.94,0.0,0.16372245957723813
39627751505792387,-0.23076923076923078,sheet,0.0,0.65,0.35,0.0,0.4670340276877455
39627757524619889,0.16666666666666666,filament,0.0,0.06,0.94,0.0,0.16372245957723813
39627805859776431,-0.058823529411764705,filament,0.0,0.28,0.72,0.0,0.4277254052800653
39627781688001431,-0.09090909090909091,sheet,0.0,0.55,0.45,0.0,0.49638722699390414
39627781688005289,0.6666666666666666,filament,0.0,0.0,1.0,0.0,-0.0
39627757558170929,-0.125,sheet,0.0,0.86,0.14,0.0,0.292119405821428
39627781688005286,0.8,filament,0.0,0.0,0.97,0.03,0.0971959289157881
39627805863970272,-0.3333333333333333,sheet,0.0,0.86,0.14,0.0,0.292119405821428
39627781688005125,-0.2,sheet,0.0,0.84,0.16,0.0,0.3171547773202831
39627757558171145,0.4666666666666667,filament,0.0,0.02,0.98,0.0,0.07072027127091034
39627781688003366,0.4,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39627781688002979,0.42857142857142855,filament,0.0,0.31,0.69,0.0,0.4465867291889284
39627781688002957,0.25,filament,0.0,0.3,0.7,0.0,0.44064544961534635
39627781688002617,-0.2631578947368421,sheet,0.0,0.99,0.01,0.0,0.04039656794795559
39627805859778999,0.2727272727272727,filament,0.0,0.43,0.57,0.0,0.4929075185894599
39627775681761769,-0.42857142857142855,sheet,0.0,0.85,0.15,0.0,0.3049201523582002
39627805859778374,0.0,filament,0.0,0.38,0.62,0.0,0.47902101111314976
39627775681762340,0.3333333333333333,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39627805859778169,0.4666666666666667,filament,0.0,0.22,0.78,0.0,0.38008375148098283
39627775685951555,-0.058823529411764705,filament,0.0,0.38,0.62,0.0,0.47902101111314976
39627805859777651,0.14285714285714285,filament,0.0,0.36,0.64,0.0,0.4713415946277461
39627775685951649,-0.06666666666666667,filament,0.0,0.4,0.6,0.0,0.4854752972273343
39627781675422531,0.1111111111111111,sheet,0.0,0.69,0.31,0.0,0.4465867291889284
39627805859777462,0.5384615384615384,filament,0.0,0.08,0.92,0.0,0.2010895951011364
39627781679612587,0.2,filament,0.0,0.05,0.94,0.01,0.1832231322266888
39627805868166919,0.125,filament,0.0,0.41,0.59,0.0,0.488250234378912
39627769629378715,0.07692307692307693,filament,0.0,0.37,0.63,0.0,0.47533604634353294
39627781717362986,0.7777777777777778,filament,0.0,0.0,0.99,0.01,0.04039656794795559
39627763593773870,0.5,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39627769629379349,-0.25,sheet,0.0,0.57,0.43,0.0,0.4929075185894599
39627799819978851,0.42857142857142855,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39627781717363993,-0.2857142857142857,sheet,0.0,0.88,0.12,0.0,0.2646804326436822
39627805868168258,0.2857142857142857,filament,0.0,0.35,0.65,0.0,0.4670340276877455
39627805872357767,0.23076923076923078,filament,0.0,0.47,0.53,0.0,0.4987007942838698
39627763593773454,0.4117647058823529,filament,0.0,0.16,0.84,0.0,0.3171547773202831
39627793792766896,0.05263157894736842,sheet,0.0,0.56,0.44,0.0,0.4947937606110278
39627805872359145,0.14285714285714285,filament,0.0,0.32,0.68,0.0,0.45219072886224687
39627763597968661,0.2857142857142857,filament,0.0,0.45,0.55,0.0,0.49638722699390414
39627799819978240,0.29411764705882354,sheet,0.0,0.53,0.47,0.0,0.4987007942838698
39627781717362689,-0.3684210526315789,sheet,0.0,0.99,0.01,0.0,0.04039656794795559
39627763581192320,0.2,filament,0.0,0.06,0.94,0.0,0.16372245957723813
39627763581192380,0.6,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39627769620990392,0.6,filament,0.0,0.16,0.84,0.0,0.3171547773202831
39627763581192389,0.25,filament,0.0,0.05,0.95,0.0,0.14319847855797813
39627763581192273,0.38461538461538464,filament,0.0,0.0,0.99,0.01,0.04039656794795559
39627769608409957,-0.1111111111111111,sheet,0.0,0.78,0.22,0.0,0.38008375148098283
39627793771791872,0.6,filament,0.0,0.1,0.9,0.0,0.2344977967946406
39627793771791244,-0.2,sheet,0.0,0.91,0.09,0.0,0.21823490853205144
39627793771792180,0.0,sheet,0.0,0.66,0.34,0.0,0.46240935248651505
39627793771790602,0.25,filament,0.0,0.22,0.78,0.0,0.38008375148098283
39627793771791893,0.6666666666666666,filament,0.0,0.03,0.97,0.0,0.0971959289157881
39627793771790783,0.375,filament,0.0,0.02,0.98,0.0,0.07072027127091034
39627763581195542,0.2,sheet,0.0,0.58,0.42,0.0,0.49072694751682683
39627793771793926,0.1111111111111111,filament,0.0,0.46,0.54,0.0,0.49768921941011285
39627793771793564,-0.6363636363636364,sheet,0.0,0.81,0.19,0.0,0.3507357299419487
39627769620990171,0.45454545454545453,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39627817943567050,0.3684210526315789,filament,0.0,0.02,0.98,0.0,0.07072027127091034
39627763581191957,0.2727272727272727,filament,0.0,0.44,0.56,0.0,0.4947937606110278
39627793771793065,0.17647058823529413,filament,0.0,0.33,0.67,0.0,0.4574631863898637
39627763581192001,0.42857142857142855,filament,0.0,0.1,0.9,0.0,0.2344977967946406
39627769608410150,0.875,filament,0.0,0.01,0.98,0.01,0.08072027127091033
39627781721558965,-1.0,sheet,0.42,0.58,0.0,0.0,0.49072694751682683
39627769620990201,0.4666666666666667,filament,0.0,0.12,0.88,0.0,0.2646804326436822
